Brand,Name,Color,RAM,Storage,Battery(mAh),Camera,Price(in Rs),Original Price(in Rs),Discount,Rating
Ai+,Ai+ Pulse 2,Pink,4.0,128.0,6000.0, Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera,11999.0,15499.0,22.58,4.2
realme,,,6.0,128.0,1450.0, 4 MB ROM6.1 cm (2.4 inch) Display0MP Front Camera,2082.0,2499.0,16.69,4.0
realme,,,6.0,128.0,1000.0,,1149.0,1249.0,8.01,4.0
Google,Google Pixel 11,Pistachio,12.0,256.0,4985.0, 10.5MP Front Camera,89999.0,,,4.208928571428571
Google,Google Pixel 11,Hibiscus,12.0,256.0,4985.0, 10.5MP Front Camera,89999.0,,,4.208928571428571
OnePlus,OnePlus N6 5G,Midnight Green,4.0,128.0,8000.0, 128 GB ROM17.27 cm (6.8 inch) Display50MP Rear Camera,22377.0,30999.0,27.81,4.1
REDMI,REDMI Note 15 SE 5G,Crimson Reserve,8.0,256.0,5800.0, Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP Rear Camera,29999.0,37999.0,21.05,4.4
MOTOROLA,MOTOROLA Edge 60 Pro,Pantone Shadow,12.0,256.0,6000.0, 50MP Front Camera,33999.0,40999.0,17.07,4.3
vivo,vivo X200T,Seaside Lilac,12.0,512.0,6200.0, 32MP Front Camera,69999.0,87999.0,20.45,4.6
MOTOROLA,MOTOROLA g37 power,PANTONE Impenetrable,8.0,128.0,7000.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,22999.0,37999.0,39.47,4.1
Samsung,Samsung Galaxy F70 Pro 5G,Alpha Black,8.0,256.0,6000.0, 12MP Front Camera,41999.0,54999.0,23.64,4.3
vivo,vivo T5 Lite 44W 5G,Twilight Shadow,4.0,128.0,6500.0, 5MP Front Camera,19999.0,33999.0,41.18,4.3
Samsung,Samsung Galaxy M07,Black,4.0,64.0,5000.0, 8MP Front Camera,11737.0,11999.0,2.18,4.3
Samsung,Samsung Galaxy F70e 5G,Limelight Green,4.0,128.0,6000.0, 8MP Front Camera,17499.0,18999.0,7.9,4.1
realme,realme Narzo 80 Lite,Beach Gold,4.0,64.0,6300.0, 64 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera,12960.0,16999.0,23.76,4.3
MOTOROLA,MOTOROLA g37 power,PANTONE Nautical Blue,4.0,128.0,7000.0, Expandable Upto 1 TB16.92 cm (6.66 inch) HD+ Display50MP Rear Camera,19999.0,30499.0,34.43,4.2
REDMI,REDMI A7 Pro 5G,Sunset Orange,4.0,128.0,6300.0, Expandable Upto 128 GB17.53 cm (6.9 inch) Full HD+ Display32MP Rear Camera,15378.0,27999.0,45.08,4.0
Samsung,Samsung Galaxy M17 5G,Moonlight Silver,6.0,128.0,5000.0, 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera,19474.0,23999.0,18.85,4.4
MOTOROLA,MOTOROLA g57 power 5G Snapdragon,Pantone Fluidity,8.0,128.0,7000.0, 8MP Front Camera,21999.0,,,4.4
realme,,,6.0,128.0,1000.0, 0MP Front Camera,1327.0,1699.0,21.9,3.5
Apple,Apple iPhone 16,White,6.0,128.0,6000.0, 12MP Front Camera,65900.0,69900.0,5.72,4.6
realme,realme P4 Pro 5G,Birch Wood,8.0,256.0,7000.0, 50MP Front Camera,30999.0,,,4.4
Apple,Apple iPhone 17,Sage,6.0,128.0,6000.0, 18MP Front Camera,80900.0,82900.0,2.41,4.6
Samsung,Samsung Galaxy A06 5G,Light Gray,4.0,64.0,5000.0, 8MP + 2MP Dual Front Camera,14149.0,15499.0,8.71,4.1
